Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;uniwifi;E0:63:DA:07:47:21;;1;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Tue Dec 24 19:15:50 2024;Tue Dec 24 19:15:50 2024;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;WiTre_IoT;E6:63:DA:07:47:21;;1;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Tue Dec 24 19:15:50 2024;Tue Dec 24 19:15:50 2024;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;XR18-25-45-AD;00:1E:C0:25:45:AD;;1;No;WEP;No;54.0;0;3;0;25;0;0;25;;;Tue Dec 24 19:15:50 2024;Tue Dec 24 19:15:51 2024;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;WiTre_Gast;EA:63:DA:74:57:E3;;1;No;WPA2,AES-CCM;No;195.0;0;2;0;0;0;0;0;;;Tue Dec 24 19:15:50 2024;Tue Dec 24 19:15:50 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Vodafone Hotspot;7A:6A:1F:3A:95:99;;1;No;OPN,None;No;195.0;0;3;0;0;0;0;0;;;Tue Dec 24 19:15:50 2024;Tue Dec 24 19:15:50 2024;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Vodafone Homespot;7A:6A:1F:3A:95:B9;;1;No;OPN,None;No;195.0;0;4;0;0;0;0;0;;;Tue Dec 24 19:15:50 2024;Tue Dec 24 19:15:51 2024;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Schirmakazie2;78:6A:1F:3A:95:E9;;1;No;WPA2,AES-CCM;No;195.0;0;4;0;0;0;0;0;;;Tue Dec 24 19:15:50 2024;Tue Dec 24 19:15:51 2024;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;WiTre_Gast;EA:63:DA:07:47:21;;1;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Tue Dec 24 19:15:50 2024;Tue Dec 24 19:15:50 2024;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;WiTre_Gast;EA:63:DA:15:71:BE;;1;No;WPA2,AES-CCM;No;195.0;0;2;0;0;0;0;0;;;Tue Dec 24 19:15:50 2024;Tue Dec 24 19:15:50 2024;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Schirmakazie;24:65:11:8A:E8:9F;;13;No;WPA2,AES-CCM;No;270.0;0;3;0;0;0;0;0;;;Tue Dec 24 19:15:50 2024;Tue Dec 24 19:15:50 2024;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
